Dia de Data Registro Vacina;Dose;Contagem de Dose
20 de abril de 2021;1° DOSE;111344
19 de abril de 2021;1° DOSE;70183
18 de abril de 2021;1° DOSE;14394
17 de abril de 2021;1° DOSE;35262
16 de abril de 2021;1° DOSE;65447
15 de abril de 2021;1° DOSE;87640
14 de abril de 2021;1° DOSE;119688
13 de abril de 2021;1° DOSE;130026
12 de abril de 2021;1° DOSE;140088
11 de abril de 2021;1° DOSE;11602
10 de abril de 2021;1° DOSE;63758
9 de abril de 2021;1° DOSE;42441
8 de abril de 2021;1° DOSE;56307
7 de abril de 2021;1° DOSE;88707
6 de abril de 2021;1° DOSE;116193
5 de abril de 2021;1° DOSE;111100
4 de abril de 2021;1° DOSE;5698
3 de abril de 2021;1° DOSE;42132
2 de abril de 2021;1° DOSE;49417
1 de abril de 2021;1° DOSE;91299
31 de março de 2021;1° DOSE;84319
30 de março de 2021;1° DOSE;113242
29 de março de 2021;1° DOSE;160349
28 de março de 2021;1° DOSE;16870
27 de março de 2021;1° DOSE;103020
26 de março de 2021;1° DOSE;214361
25 de março de 2021;1° DOSE;126069
24 de março de 2021;1° DOSE;90435
23 de março de 2021;1° DOSE;104927
22 de março de 2021;1° DOSE;139595
21 de março de 2021;1° DOSE;13931
20 de março de 2021;1° DOSE;91165
19 de março de 2021;1° DOSE;193818
18 de março de 2021;1° DOSE;78960
17 de março de 2021;1° DOSE;80011
16 de março de 2021;1° DOSE;82877
15 de março de 2021;1° DOSE;131562
14 de março de 2021;1° DOSE;9430
13 de março de 2021;1° DOSE;29733
12 de março de 2021;1° DOSE;55780
11 de março de 2021;1° DOSE;56598
10 de março de 2021;1° DOSE;60032
9 de março de 2021;1° DOSE;69501
8 de março de 2021;1° DOSE;74087
7 de março de 2021;1° DOSE;12001
6 de março de 2021;1° DOSE;49155
5 de março de 2021;1° DOSE;79530
4 de março de 2021;1° DOSE;106774
3 de março de 2021;1° DOSE;130993
2 de março de 2021;1° DOSE;99118
1 de março de 2021;1° DOSE;112862
28 de fevereiro de 2021;1° DOSE;14170
27 de fevereiro de 2021;1° DOSE;49786
26 de fevereiro de 2021;1° DOSE;22716
25 de fevereiro de 2021;1° DOSE;24711
24 de fevereiro de 2021;1° DOSE;27157
23 de fevereiro de 2021;1° DOSE;34419
22 de fevereiro de 2021;1° DOSE;37781
21 de fevereiro de 2021;1° DOSE;6028
20 de fevereiro de 2021;1° DOSE;16311
19 de fevereiro de 2021;1° DOSE;43152
18 de fevereiro de 2021;1° DOSE;50266
17 de fevereiro de 2021;1° DOSE;52032
16 de fevereiro de 2021;1° DOSE;53884
15 de fevereiro de 2021;1° DOSE;68625
14 de fevereiro de 2021;1° DOSE;7257
13 de fevereiro de 2021;1° DOSE;30370
12 de fevereiro de 2021;1° DOSE;107791
11 de fevereiro de 2021;1° DOSE;94801
10 de fevereiro de 2021;1° DOSE;81886
9 de fevereiro de 2021;1° DOSE;111733
8 de fevereiro de 2021;1° DOSE;102591
7 de fevereiro de 2021;1° DOSE;14284
6 de fevereiro de 2021;1° DOSE;44158
5 de fevereiro de 2021;1° DOSE;91002
4 de fevereiro de 2021;1° DOSE;80371
3 de fevereiro de 2021;1° DOSE;70679
2 de fevereiro de 2021;1° DOSE;58868
1 de fevereiro de 2021;1° DOSE;56204
31 de janeiro de 2021;1° DOSE;6006
30 de janeiro de 2021;1° DOSE;22010
29 de janeiro de 2021;1° DOSE;55741
28 de janeiro de 2021;1° DOSE;70959
27 de janeiro de 2021;1° DOSE;38236
26 de janeiro de 2021;1° DOSE;44188
25 de janeiro de 2021;1° DOSE;21338
24 de janeiro de 2021;1° DOSE;6384
23 de janeiro de 2021;1° DOSE;16876
22 de janeiro de 2021;1° DOSE;51676
21 de janeiro de 2021;1° DOSE;32113
20 de janeiro de 2021;1° DOSE;14183
19 de janeiro de 2021;1° DOSE;7451
18 de janeiro de 2021;1° DOSE;877
17 de janeiro de 2021;1° DOSE;100
20 de abril de 2021;2° DOSE;142010
19 de abril de 2021;2° DOSE;138323
18 de abril de 2021;2° DOSE;17475
17 de abril de 2021;2° DOSE;82482
16 de abril de 2021;2° DOSE;234112
15 de abril de 2021;2° DOSE;123857
14 de abril de 2021;2° DOSE;83078
13 de abril de 2021;2° DOSE;91646
12 de abril de 2021;2° DOSE;127852
11 de abril de 2021;2° DOSE;12568
10 de abril de 2021;2° DOSE;55347
9 de abril de 2021;2° DOSE;165731
8 de abril de 2021;2° DOSE;66802
7 de abril de 2021;2° DOSE;75847
6 de abril de 2021;2° DOSE;99803
5 de abril de 2021;2° DOSE;109754
4 de abril de 2021;2° DOSE;4474
3 de abril de 2021;2° DOSE;15207
2 de abril de 2021;2° DOSE;7247
1 de abril de 2021;2° DOSE;43263
31 de março de 2021;2° DOSE;58933
30 de março de 2021;2° DOSE;50706
29 de março de 2021;2° DOSE;45853
28 de março de 2021;2° DOSE;5668
27 de março de 2021;2° DOSE;13954
26 de março de 2021;2° DOSE;31928
25 de março de 2021;2° DOSE;40147
24 de março de 2021;2° DOSE;53731
23 de março de 2021;2° DOSE;21415
22 de março de 2021;2° DOSE;19075
21 de março de 2021;2° DOSE;2489
20 de março de 2021;2° DOSE;6437
19 de março de 2021;2° DOSE;18386
18 de março de 2021;2° DOSE;25473
17 de março de 2021;2° DOSE;32341
16 de março de 2021;2° DOSE;25595
15 de março de 2021;2° DOSE;29375
14 de março de 2021;2° DOSE;1803
13 de março de 2021;2° DOSE;11750
12 de março de 2021;2° DOSE;43351
11 de março de 2021;2° DOSE;48146
10 de março de 2021;2° DOSE;46952
9 de março de 2021;2° DOSE;49879
8 de março de 2021;2° DOSE;49802
7 de março de 2021;2° DOSE;4718
6 de março de 2021;2° DOSE;24919
5 de março de 2021;2° DOSE;63198
4 de março de 2021;2° DOSE;59871
3 de março de 2021;2° DOSE;59955
2 de março de 2021;2° DOSE;59441
1 de março de 2021;2° DOSE;28099
28 de fevereiro de 2021;2° DOSE;3340
27 de fevereiro de 2021;2° DOSE;8546
26 de fevereiro de 2021;2° DOSE;32333
25 de fevereiro de 2021;2° DOSE;20845
24 de fevereiro de 2021;2° DOSE;22660
23 de fevereiro de 2021;2° DOSE;26248
22 de fevereiro de 2021;2° DOSE;28850
21 de fevereiro de 2021;2° DOSE;2163
20 de fevereiro de 2021;2° DOSE;7475
19 de fevereiro de 2021;2° DOSE;41003
18 de fevereiro de 2021;2° DOSE;52892
17 de fevereiro de 2021;2° DOSE;53848
16 de fevereiro de 2021;2° DOSE;56288
15 de fevereiro de 2021;2° DOSE;51969
14 de fevereiro de 2021;2° DOSE;9367
13 de fevereiro de 2021;2° DOSE;12456
12 de fevereiro de 2021;2° DOSE;51106
11 de fevereiro de 2021;2° DOSE;32604
10 de fevereiro de 2021;2° DOSE;4375
9 de fevereiro de 2021;2° DOSE;505
8 de fevereiro de 2021;2° DOSE;313
7 de fevereiro de 2021;2° DOSE;21
6 de fevereiro de 2021;2° DOSE;56
5 de fevereiro de 2021;2° DOSE;25
4 de fevereiro de 2021;2° DOSE;10
3 de fevereiro de 2021;2° DOSE;14
2 de fevereiro de 2021;2° DOSE;4
1 de fevereiro de 2021;2° DOSE;46
31 de janeiro de 2021;2° DOSE;4
30 de janeiro de 2021;2° DOSE;2
29 de janeiro de 2021;2° DOSE;4
28 de janeiro de 2021;2° DOSE;33
27 de janeiro de 2021;2° DOSE;3
26 de janeiro de 2021;2° DOSE;4
25 de janeiro de 2021;2° DOSE;3
23 de janeiro de 2021;2° DOSE;1
22 de janeiro de 2021;2° DOSE;9
20 de janeiro de 2021;2° DOSE;1
18 de janeiro de 2021;2° DOSE;2
